Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolzina opisa (črke)
Malinove rezine,Zabava,2,40,248,4,10,"Sočno pecivo se odlično prileže v prav vseh letnih časih. V hladnejših mesecih si ga privoščimo s skodelico toplega napitka, v toplejših pa se bo zraven prileglo nekaj hladnega in osvežilnega. Predlagamo domač bezgov sok ali ledeni čaj.",38,199
Krompirjeva zloženka z mletim mesom in paradižnikom,Kosilo,2,70,119,5,11,"Preprosta jed iz sestavin, ki jih imamo vsi radi in jih imamo navadno tudi vedno pri roki. Lahko ji rečete tudi musaka, a se od priljubljene krompirjeve jedi razlikuje v nekaj manjših podrobnostih - za sočnost so dodani paradižniki in bučka, malce drugačen pa je tudi preliv, saj namesto bešamela uporabimo zmes jajca in jogurta.",55,275
Pečene mesne kroglice s sirom in paradižnikovo omako,Kosilo,1,60,157,5,9,"Recept, ki bo navdušil vse ljubitelje mesnih kroglic in je hkrati tudi odlična rešitev za takrat, ko za kuhanje nimamo veliko časa. Kroglice spečemo kar v pečici, medtem pa imamo več kot dovolj časa, da poskrbimo še za prilogo in solato.",41,197
Hitra sladica s slivami v kozarcu,Sladice,1,40,262,8,13,"Sladica z dišečim lešnikovim drobljencem, bogato maskarponejevo kremo in slivami, kuhanimi v sladkem vinu. Vse komponente lahko pripravite dan prej, in ko pridejo gostje, sladico samo še sestavite.",28,170
Piščančji zrezki v parmezanovi omaki s polentno prilogo,Kosilo,1,35,114,8,11,"Velikokrat želimo pripraviti okusno in tudi za oko prijetno kosilo zgolj v pol ure ali še manj, ampak preprosto nimamo ideje, kaj bi lahko v tako kratkem času skuhali. Ponujam vam odličen predlog za celotno kosilo, ki ga boste ponosno postavili na vašo mizo. Hitro, okusno in poceni, da vam bo hvaležna tudi vaša denarnica.",55,269
Skutine rezine z malinami (brez peke),Sladice,1,45,215,6,14,"Osvežilna poletna sladica, ki jo pripravite hitro in brez peke. Osnova je narejena iz mandljeve moke, zato rezine ne vsebujejo glutena. Lahko uporabite sveže ali zamrznjene maline, ki jih po želji nadomestite z jagodami, ribezom ali malinami. V primeru zamenjave po potrebi samo nekoliko povečajte količino sladkorja.",47,271
Bučke v omaki,Omake,1,40,56,4,9,"Bučke so eno najbolj priljubljenih poletnih živil, ki nas navdušuje tudi z raznovrstnostjo, saj jih lahko pripravimo resnično na tisoč in en način. Odlične so pohane, dušene, pečene, na žaru, polnjene ... Za spremembo vam tokrat predlagam nekoliko zapostavljen način priprave in to so bučke v omaki, ki so zelo okusne in se priležejo k številnim jedem. Lahko je to ocvrto meso, pečeni zrezki, jedi iz žara, ribji file ali pa preprosto jajce na oko. Odlične so tudi v kombinaciji s pire krompirjem in mesnimi polpeti.",86,431
Omleta z bučkami in panceto,Kaj skuhati,1,35,163,5,10,"Sočna omleta z bučkami, panceto in sirom je odlična izbira za kosilo ali večerjo, lahko pa si jo privoščite tudi za zajtrk. Za prilogo izberite listnato ali paradižnikovo solato, seveda pa ne pozabite na kos ali dva kruha, s katerim boste krožnike z užitkom pomazali do zadnje kapljice.",48,239
Ledene kocke s sadjem,Sladice,1,105,314,7,18,"Slastna sladica z mehkim, sočnim biskvitom, osvežilnimi gozdnimi sadeži, masleno vanilijevo kremo in čokoladnim prelivom. Enostavno jo morate poskusiti.",19,134
V pečici pečene polnjene (filane) paprike,Kosilo,1,130,146,7,17,"S polnjenimi oziroma 'filanimi' paprikami so nas razvajale že naše babice. Jed se je včasih pripravljala tako, da se se paprike počasi kuhale v paradižnikovi omaki, danes pa je vedno bolj priljubljena priprava nadevanih paprik v pečici. Če imate radi okus pečenih paprik, vam bodo slednje zagotovo všeč.",48,256
Sataraš,Balkanska,1,35,69,4,7,"Če se vam po hladilniku valjajo paradižniki in paprike, pa ne veste, kako bi jih porabili, je najbolje, da si pripravite sataraš. Gre za preprosto, a zelo okusno jed iz dušene zelenjave in umešanih jajc. Pripravljena je v eni ponvi, s kosom kruha pa si jo lahko privoščite za malico ali kosilo.",52,243
Solata s stročjim fižolom in krompirjem,Solate,1,40,80,6,13,"Stročji fižol in krompir v kombinaciji z olivami, feta sirom in okusnim prelivom. Slastna in nasitna solata, ob kateri sploh ne boste pogrešali mesa.",24,126
Preprost kolač s slivami,Sladice,1,75,370,5,12,"Za pripravo zelo preprosta sladica, katere rezultat vas bo vedno znova navdušil. Namesto sliv lahko mirno uporabite drugo sadje (marelice, breskve, nektarine, maline, brusnice ipd.), poigrate pa se lahko tudi pri drugih sestavinah, tako da en del moke na primer nadomestite z mandljevo, kokosovo, koruzno ali polnozrnato moko.",48,279
Affogato,Pijača,1,5,231,2,3,"Za pripravo affogata, italijanskega ledenega kavnega napitka, potrebujete samo 5 minut in tri sestavine: vanilijev sladoled, liker (originalno se uporabi amaretto) in esspresso. Affogato v prevodu pomeni 'potopljen', kar se najverjetneje nanaša na vanilijev sladoled, ki ga najprej prelijemo z merico vročega espressa, nato pa še z likerjem. Zaradi vroče kave se sladoled začne topiti in tako se v kozarcu ustvari kremast kavni napitek, na vrhu katerega plava preostanek sladoleda. To je prava kavna poslastica, katere pomanjkljivost je zgolj ta, da vas lahko v hipu zasvoji.",86,490
Zelenjavna enolončnica z omako pistou,Poletje,1,55,76,5,17,"Gosta, bogata, hranljiva in zelo okusna zelenjavna jed na žlico. Omako pistou, pripravljeno iz sveže bazilike, olivnega olja in česna, po želji zamenjajte z dobrim bazilikinim pestom. Zraven se prileže samo še kos domačega kruha ...",36,197
Pecivo z malinami in pudingom,Sladice,1,60,301,7,16,Rahel biskvit in puding z nežnim okusom po limoni ter sveže maline in malinina marmelada so popolna kombinacija za sladkanje. Hitro pripravljena sladica vas bo navdušila tudi z videzom.,29,157
Kumare v omaki,Brez mesa,1,40,35,6,10,"Kumare v omaki, poznane tudi pod imeni 'murkin zos', 'kumarčni zos', 'kumare v zosu' in 'tople murke', so med Slovenci ena najbolj priljubljenih poletnih jedi. V osnovi gre za zelo preprosto, kmečko jed, ki so jo pripravljale že naše babice, recept zanjo pa se prenaša iz roda v rod.",49,235
Polnjeni lignji s pršutom in sirom,Ribe in morski sadeži,1,50,138,8,9,"Poletje, morje in lignji oziroma kalamari, kot jim radi pogovorno rečemo. Pripravljeni na vse možne načine nas vedno spomnijo na dopust, vonj borovcev in večerjo na obmorski terasi. Tokrat sem vam pripravila odličen in zelo enostaven recept, s katerim si boste lahko tudi na domači terasi ali vrtu pričarali pravo dopustniško kosilo ali večerjo. Polnjeni lignji so dobri že sami po sebi, zraven pa tudi izvrstno tekne blitva s krompirjem.",70,369
Grška krompirjeva musaka,Kosilo,1,110,156,8,16,"Musaka je ena najbolj priljubljenih grških jedi. Običajno jo pripravljamo ob vikendih, ko imamo za kuhanje na voljo več časa. Krompirjevo musako navadno prelijemo z zmesjo jajc, kisle smetane in mleka, tokrat pa bomo uporabili klasični preliv - z rumenjaki in naribanim sirom obogateno bešamel omako.",46,255
Breskove rezine,Pecivo,1,90,218,7,12,"Čudovita poletna sladica, narejena iz svežih breskev. Zanjo potrebujete dobro znane sestavine, priprava pa vam ne bo vzela veliko časa.",20,116
Bučkin wrap s tuninim nadevom,LCHF,1,50,92,7,14,"Hitro pripravljen zelenjavni wrap oziroma ploščati kruhek, ki ga lahko uporabite za zvitke z različnimi nadevi. Mi smo se odločili za tunino različico, morda pa vam bo bolj teknila različica s siri, raznimi mesninami, pa s humusom, zelenjavo, guacamolejem, ali pa z lososom in avokadom in še in še. Bučkin wrap je primeren tudi za LCHF oziroma keto dieto. Celoten postopek priprave si lahko ogledate v spodnjem videu.",68,350
Hitri skutini cmoki s sadjem,Kaj skuhati,1,65,111,3,7,"Četudi prisegate na cmoke iz krompirjevega testa, boste svoje mnenje morda spremenili, ko boste poskusili skutine. Testo s skuto je namreč zelo hitro narejeno, priprava cmokov pa je tudi sila enostavna. Za nadev smo uporabili sveže slive, ki jih lahko nadomestite tudi s kakšnim drugim sezonskim sadjem ali pa uporabite vloženega.",51,280
Tiramisu semifreddo,Sladice,1,280,313,7,9,"Če je tiramisu vaša najljubša sladica, vsekakor poskusite tudi na pol zamrznjeno različico, ki je idealna izbira za vroče poletne dni.",21,114
Kremna limonina pita brez peke,Sladice,1,15,465,4,6,"Pita, ki jo boste pripravili v rekordno kratkem času, pa bo kljub temu ostala v spominu marsikaterega gosta. Sladkorja ne boste potrebovali, saj je dovolj sladko že kondenzirano mleko.",29,156
Zelenjavna lazanja,Kaj skuhati,1,95,266,7,15,"Lazanja velja za zelo preprosto kmečko jed, ki so jo italijanske none pripravile kar med vsemi opravki in brez veliko skrbi. Kljub temu, da obstajajo raznorazni novodobni recepti, v katerih se vse kuha oziroma duši po določenih postopkih, gre pri pripravi lazanje v osnovi zgolj za to, da med plasti testenin damo poljuben nadev in potem vse skupaj spečemo v pečici. Jed navadno pripravljamo z mesom, a je zdaj, ko imamo obilje sezonske zelenjave, skoraj greh, da ne naredimo čudovite brezmesne lazanje. Recept je preprost in hiter, priprava nadeva pa je odvisna od založenosti vašega hladilnika oziroma vrta.",98,512
Skutina zvezda s špinačo,Zabava,1,115,158,11,13,"Kvašeno testo v sladkih in slanih kombinacijah je vedno dobrodošlo pri malih in velikih jedcih. Danes sem se odločila za slano različico s preprostim nadevom iz skute in špinače. Hitro narejeno, dobrega okusa in primerno za kosilo ali večerjo s skledo solate ali pa za pogostitev obiskov. Odlično se obnese tudi kot prigrizek, ki ga postrežemo ob ogledu kakšega dobrega filma ali tekme. Ni važno če je zima ali poletje, skutino-špinačna zvezda se vedno prileže.",75,387
Jogurtova panakota z jagodičevjem,Sladice,1,35,113,5,9,"Panakota je ena tistih sladic, ki nas ne navdušujejo samo z odličnim okusom, ampak tudi s skorajda otročje lahko pripravo. Tokrat vam ponujamo recept za nekoliko bolj osvežilno panakoto, ki poleg sladke smetane vsebuje tudi grški jogurt, limonino lupinico in sveže jagodičevje. Sladica je hitro pripravljena, dobro ohlajena pa predstavlja odlično popestritev poletnih piknikov in vrtnih zabav.",57,337
Polnjeni lignji v paradižnikovi omaki,Ribe in morski sadeži,1,60,116,7,10,"Priljubljena italijanska jed, primerna za kosilo ali večerjo, bo zagotovo večkrat na vašem jedilniku. Nadev naredimo iz lovk, česna, peteršilja, kruha, jajca in naribanega parmezana, nadevane lignje pa pokuhamo v okusni paradižnikovi omaki.",33,208
Polnjene paprike brez mesa,Zelenjava,1,90,79,9,16,"Pisane paprike z aromatičnim riževim nadevom z gobicami, ki jih skuhate v paradižnikovi omaki na štedilniku ali pa delo prepustite pečici. Lahka poletna jed, ob kateri ne boste pogrešali mesa.",30,163
"Stročji fižol s krompirjem, ocvirki in smetano",Slovenska,1,30,83,3,5,"Okusna domača jed, pripravljena iz svežega stročjega fižola, krompirja, kisle smetane in ocvirkov, bo navdušila tudi najbolj zahtevne sladokusce. Tako so stočji fižol pripravljali in jedli že naši predniki in prav je, da se recept prenaša iz roda v rod in s tem poskrbi, da ta preprosta domača jed izvrstnega okusa nikoli ne bo utonila v pozabo.",57,289
Rolada z bučkami in mletim mesom,Video recepti,1,50,189,5,8,"Atraktivna jed, v kateri bučke združimo z mletim mesom, jajci in sirom. Naj vas videz ne prevara, priprava je hitra in preprosta. Celoten postopek priprave rolade z bučkami in mletim mesom si oglejte v spodnjem videu.",36,182
Raffaello cheesecake,Torta,1,50,447,7,15,"Čudovita sladica za lahkotno poletno razvajanje. Njena priprava je hitra in preprosta, pečice pa ne boste potrebovali. Za brezglutensko različico uporabite maslene piškote brez glutena.",25,161
Polpeti iz prosene kaše z zelenjavo,Brez mesa,1,45,186,6,12,"Proseni polpeti, postreženi s skledo solate in kakšno osvežilno jogurtovo ali paradižnikovo omako, so odlična ideja za zdravo brezmesno kosilo. Iz polpetov lahko pripravite tudi okusne brezmesne burgerje ali sendviče.",30,188
Hitra slivova pita,Sladice,1,65,291,5,13,"Ob tej piti vas bo morda popeljalo v otroštvo, ko so na štedilniku brbotale najboljše domače slivove marmelade naših babic. Dišeča sladica, ki jo boste pripravili hitro in z lahkoto.",30,153
Blitva s krompirjem in česnom,Zelenjava,1,45,51,3,5,"Priljubljena poletna priloga, ki je odlična spremljava pečenim ribami in mesnim jedem.",12,75
Sataraš z rižem,Poletje,1,50,29,5,8,"Poleti nas mame, tete, babice in dobre sosede nesebično zalagajo z domačo zelenjavo, tako da včasih nimamo ideje, kako jo porabiti. Ena od nekoliko pozabljenih jedi je sataraš z rižem, ki ob rezini dobrega domačega kruha navduši naše brbončice. Nad pripravljeno jedjo bodo navdušeni tudi vegani, vegetarijanci in vsi tisti, ki se izogibajo glutenu.",54,295
Sivkin sirup,Domači pripravki,1,25,188,4,6,"Zelo preprost recept za pripravo okusnega domačega sivkinega sirupa, ki vas bo očaral z barvo, vonjem in odličnim okusom. Razredčen s hladno navadno ali mineralno vodo predstavlja pravo osvežitev v hudi poletni vročini. Če boste sirup uporabljali kot dodatek sladoledu, strjenkam in pecivu, pa vam priporočamo, da izpustite dodatek citronske kisline.",51,300
Zavitek z vanilijevo kremo in borovnicami,Sladice,1,50,270,6,9,"Kdo se lahko upre tej hrustljavi, dišeči sladici, ki je pripravljena dobesedno na en, dva, tri? Polnega okusa, ne presladka in kremasta, z rahlo kislim okusom po borovnicah. Poleg lahko dodamo tudi kepico sladoleda in posladek bo popoln.",38,200
Beli fižol z blitvo in sirom,Brez mesa,1,25,101,5,13,"Hitro pripravljen in poceni obrok, ki vsebuje beljakovine in zelenjavo, oboje pa poveže dodatek sira. Jed, ki potrebuje samo še spremljavo popečenih kruhkov, ali pa je sama spremljava kosu mesa oziroma klobasi.",32,179
Poletna torta z malinami,Sladice,2,40,342,5,10,"Osvežilna in lahka poletna sladica brez peke, v katero se boste zaljubili na prvi ugriz.",15,74
Lahka musaka z bučkami,Kosilo,2,125,166,7,16,"Musaka je priljubljena sredozemska zloženka, narejena iz plasti jajčevcev, krompirja in mletega mesa, ki jih v okusno celoto povezuje zlato rjavo zapečena plast bešamela. Za spremembo namesto krompirja in jajčevcev uporabite bučke, gost in nasiten bešamel pa zamenjajte z jogurtovo polivko. Verjemite nam, da je jed naravnost izvrstna in prepričani smo, da se bo poleti velikokrat znašla na vašem jedilniku.",60,348
Jogurtove rezine s sadjem in piškoti (brez peke),Sladice,1,45,144,9,10,"V poletnih dneh v želji po ohladitvi in osvežitvi radi zahajamo na plažo ter se hladimo v rekah in jezerih. Zvečer, ko pridemo domov in zbiramo vtise celotnega dne, pa se prileže nekaj sladkega, lahkega in osvežilnega. Če pri tem ni treba prižgati pečice, še toliko boljše. Sestavine za osvežilne jogurtove rezine s piškoti in sadjem večinoma imamo doma, priprava pa je primerna tudi za začetnike.",66,332
Lignji po tržaško s tatarsko omako,Kaj skuhati,1,35,180,7,12,"Izvrstna morska jed, ki se s kozarcem hladne pijače odlično prileže poleti. Hrustljavi lignji s tatarsko omako so okusen prigrizek, če jih postrežemo z ocvrtim krompirčkom ali blitvo s krompirjem, pa dobimo izvrstno morsko kosilo.",35,196
Vložena zelenjava,Domači pripravki,1,65,0,6,8,"Obilje vrtnih pridelkov nas prav sili, da del zelenjave shranimo za zimo, da lahko tudi v hladnejših mesecih uživamo v obilju barv ter okusov. Mnoge gospodinje pa velikokrat odvrne že samo misel na vlaganje zelenjave, zaradi vonja kisa, ki se ga voha po celi hiši, in tudi vsega dela, povezanega z vkuhavanjem. Pa ni treba, da je tako. Predstavljam vam preprost recept, ki je primeren za čisto vsakega. Kis se ne kuha, postopek pa je hiter in enostaven. Zelenjavo izberite po svojem okusu oz. uporabite tisto, ki jo imate na vrtu. Če nimate vrta, pa hitro na tržnico ali najbližjo kmetijo.",101,489
Čokoladni sladoled brez strojčka,Sladice,1,10,483,2,4,"Kremasta in slastna poletna poslastica, s katero boste zagotovo razveselili vse po vrsti. Zanjo potrebujete le nekaj sestavin, pripravite jo v nekaj minutah in to brez aparata za sladoled.",29,160
Paprike s krompirjem v pečici,Kosilo,1,60,58,5,9,"Ena najboljših brezmesnih jedi so zame zapečene paprike s krompirjem. Kako je to sočno, si tisti, ki jedi ni poskusil, ne more niti zamisliti. Na koncu za posebno zadovoljstvo in užitek s koščkom kruha še pomažeš pekač ... To je res dobesedno za prste polizati!",45,217
Piščančje kroglice v zelenjavni omaki,Kosilo,1,45,110,6,13,"Rahle mesene kroglice v sočni zelenjavni omaki bodo hitro postale eno bolj priljubljenih družinskih kosil. Ko ste na tesnem s časom, zraven ponudite zgolj kruh, k jedi pa se drugače podajo tudi številne druge priloge, od pire krompirja in kuhanega riža do cmokov in njokov.",45,229
Preprosto jogurtovo pecivo z marelicami,Sladice,1,50,312,7,10,"Rahlo in za pripravo zelo enostavno jogurtovo pecivo je zaradi dodatka svežih marelic zelo sočno, prav tako pa tudi ni preveč sladko. Odlično je v kombinaciji z bezgovim sokom, privoščite pa si ga lahko tudi s skodelico najljubšega toplega napitka. Namesto marelic lahko uporabite breskve, jagodičevje ali češnje, izven sezone pa je odlična izbira tudi sadje iz kompota.",58,313
Stročji fižol z zaseko in kislo smetano,Zelenjava,1,40,76,3,5,"Zelo preprosta, a izjemno okusna jed, ki jo navadno postrežemo kot prilogo mesnim jedem. Lahko pa je tudi lahka samostojna jed, h kateri ponudimo rženi kruh ali kuhan krompir.",29,147
Poletni krompirjev narastek,Poletje,1,46,81,4,8,"Če imate doma vrt, vam v poletnem času sveže sezonske zelenjave najverjetneje ne primanjkuje. Uporabite jo za pripravo okusnega in lahkega brezmesnega narastka, ki je odličen kot priloga mesnim in ribjim jedem, če ga postrežete kot samostojen obrok, pa ne pozabite zraven ponuditi še velike sklede sezonske solate.",48,267
Marelična marmelada z manj sladkorja,Domači pripravki,1,65,103,6,5,"Oranžno obarvano sadje sladko-kislega okusa je trenutno v sezoni in če imate dostop do večje količine domačih marelic, nikar ne čakajte, ampak si naredite zalogo sladke marmelade. Za pripravo potrebujete zelo malo sestavin, le sveže marelice, sladkor in limono, za poseben okus in aromo pa je priporočljivo dodati tudi vanilijo v stroku.",52,286
Sladica v kozarcu z jagodami in rabarbaro,Sladice,1,35,192,6,12,"Ko je zunaj prevroče, da bi domačo kuhinjo še dodatno segrevali s prižiganjem pečice, so sladice v kozarcu odlična rešitev za trenutke. Njihova priprava je hitra in enostavna, sladice pa kljub temu navdušujejo z odličnim okusom in čudovitim videzom. Ena od njih je tudi cheesecake v kozarcu, ki smo mu dodali pokuhane jagode in rabarbaro, ki sladici dodajo prijetno kislost in svežino.",62,324
Bučkine rezine z jogurtom in sirom,Poletje,1,60,126,6,11,"Bučkine rezine z jogurtom in sirom si lahko privoščite za kosilo ali večerjo, odlično pa teknejo tudi kot prigrizek oziroma malica med obroki. Priprava je hitra in preprosta, v osnovno maso pa lahko po želji vmešate tudi malo svežega nasekljanega peteršilja ali koprca in mlado čebulico. Rezine so najboljše, ko se malce pohladijo, zraven pa se odlično prileže skleda paradižnikove solate.",61,329
Klafuti z breskvami in malinami,Sladice,1,65,161,5,13,"Okusna poletna sladica, ki bo kuhinjo že med peko napolnila z opojnim vonjem po breskvah in vaniliji. Priprava je zelo preprosta, saj moramo na krhlje zrezane breskve in maline zgolj preliti s stepeno mešanico moke, sladkorja, jajc in mleka, po želji tudi smetane. Sladica se postreže še topla s kepico dobrega vanilijevega sladoleda ali kupčkom hladne stepene smetane.",58,312
"Enolončnica s papriko, mletim mesom in rižem",Juhe in jedi na žlico,1,55,138,6,14,"Recept je na kožo pisan vsem, ki tudi v poletnih mesecih prisegate na enolončnice, hkrati pa ste tudi veliki ljubitelji polnjenih paprik. V tej okusni in hitro pripravljeni jedi na žlico so namreč uporabljene enake sestavine, kot jih potrebujemo za pripravo polnjenih paprik, bistveno je spremenjen samo postopek priprave. Za piko na i enolončnici na koncu dodajte žlico kisle smetane, kar se prilog tiče pa zadostuje že kos kruha.",69,363
Krompirjeva solata s čebulo in slanino,Piknik in žar,1,40,100,6,10,"Mlad krompirček, popečena slanina, sladka rdeča čebula in okusen preliv. Krompirjeva solata, ki bo zvezda vaših piknikov. Sestavine za večje družbe podvojite.",22,137
Hitra bučkina pita s skuto,Zelenjava,1,40,165,5,8,"Hitro pripravljena zelenjavna pita iz listnatega testa, ki ne potrebuje spremljave. Lahko pa je odlična priloga ribam, pa tudi kakšnemu kosu mesa.",22,125
Hitro skutino pecivo z borovnicami in drobljencem,Sladice,1,80,246,6,17,"Osvežilna sladica z rahlo skutino plastjo, ki spominja na souffle. Dopolnita jo plast iz borovnic ter mandljev drobljenec, ki s svojo hrustljavostjo poskrbi za piko na i.",27,144
Poletna zelenjavna mineštra,Juhe in jedi na žlico,1,45,48,5,16,"Slovenci imamo ričet, Italijani pa mineštro. Gre za krepko in nasitno enolončnico, pripravljeno iz različne sezonske zelenjave, ki jo imamo v določenem letnem času pri roki. Mineštro si lahko skuhamo tudi vnaprej, saj bo naslednji dan še boljšega okusa.",39,215
Čokoladna torta brez peke,Torta,1,15,444,4,4,"Čokoladna torta, ki jo pripravite ekspresno hitro, zanjo pa potrebujete samo štiri sestavine: maslo, piškote, čokoladni namaz in kremni sir.",20,121
Zapečene bučke in krompir,Poletje,1,65,111,4,10,"Za pripravo zelo nezahtevna poletna jed, ki bo navdušila prav vse družinske člane. Čeprav vsebuje veliko zelenjave, jo bodo z veseljem zmazali tudi otroci.",24,132
Najhitreje pripravljeno testo za pico,Italijanska,1,40,380,2,7,"Testo, narejeno po tem receptu, vas ne bo navdušilo samo s hitro in preprosto pripravo, temveč tudi s samim okusom. Je namreč prav tako, kot mora biti - hrustljavo, mehko, prožno in rahlo. Naredimo ga z instant suhim kvasom, saj ga imamo navadno vedno pri roki.",46,216
Pistacijeva krema s češnjami v kozarcu,Sladice,1,45,280,5,12,"Poletna sladica v kozarcu, ki bo navdušila vse ljubitelje sladkega.",10,58
Tunina jajčna pita brez testa,Piknik in žar,1,45,180,3,7,"Če slano pito neradi pripravljate, ker se morate ubadati s testom, je ta pita za vas odlična izbira. Vse sestavine morate samo zmešati skupaj, vliti v pekač in spečti v pečici.",31,146
Pasticciotto,Pecivo,2,75,402,9,15,"Sladica z juga Italije iz krhkega testa in slastne kreme. Obe komponenti boste pripravili zelo hitro, nato ju morate samo še združiti. Pasticciotto tradicionalno pripravljajo v modelčkih ovalne oblike, lahko pa jih pripravite tudi v pekaču za mafine.",38,213
Zapečeni njoki v paradižnikovi omaki z mascarponejem,Kosilo,1,30,123,7,13,"Krompirjevi njoki, paradižnikova omaka, obogatena z začimbami in mascarponejem, ter zapečena mocarela so popolna kombinacija za preprosto in okusno kosilo, primerno za vse dni v tednu.",26,159
Čokoladna torta brez moke s češnjami in smetano,Brez glutena,1,60,324,7,7,"Da, tudi brez moke lahko pripravite odličen biskvit, ki je osnova te preproste, a pregrešne sladice. Za okus poletja ter dodatno sočnost in svežino poskrbijo hrustavke, ki jih lahko mirno nadomestite s češnjami ali kakšnim drugim sadjem z domačega vrta.",40,214
Hrustljavo pečen mladi krompir,Zelenjava,1,65,94,5,5,"Če imate radi krompir, vam bo hrustljavo zapečen mladi krompirček zagotovo všeč. Lahko se poigrate in ga začinite s poljubnimi začimbami in zelišči. Odličen je tudi v kombinaciji z rožmarinom in pečenim česnom, za piko na i pa lahko na vsak krompirček položite tudi kakšen košček ali dva domače slanine.",50,254
Ražnjiči s svinjino in papriko,Meso,1,53,160,4,7,"Nabodala lahko spečete na žaru ali v ponvi. Za popoln mediteranski obrok zraven postrezite še tzatziki, hladno kumarično omako oziroma solato, ter pita kruh. Če si obroka ne predstavljate brez krompirja, pa lahko izbirate med pečenim krompirjem ali krompirjevo solato.",40,229
Sipin golaž z domačimi rezanci,Ribe in morski sadeži,1,160,106,8,16,"Poletje je čas za morske jedi, kozarec vina in družinske večerje zunaj na vrtu, terasi ali kar pri odprtem oknu, da začutimo vse opojne vonjave poletja. Ena od priljubljenih jedi naše družine je domača pašta, ki jo najbolje naredi moja tašča Alda. Sama pa zraven pripravim raznorazne omake. Tokrat sva se odločili za kombinacijo širokih rezancev in sipinega golaža. Če uporabimo divje ulovljene sipe, jih moramo predhodno zamrznit, saj je tako njihovo meso lažje za obdelavo in bolj mehko. Rezultat je bil, kot se vidi iz fotografij, za prste polizati.",90,463
